person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_term,credit_score,monthly_expenses,co_applicant_income,employment_type,existing_loans,debt_to_income_ratio
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,48,668,25618,0,Self-Employed,2,0.76
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,60,677,6377,0,Self-Employed,0,0.1
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,36,652,6045,6339,Unemployed,5,3.18
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,60,695,21591,13275,Freelancer,3,0.76
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,60,668,33103,37789,Salaried,1,0.74
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,24,689,4950,0,Unemployed,2,1.26
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,36,730,53264,0,Unemployed,5,0.78
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,36,644,38164,0,Salaried,5,0.76
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,36,709,27124,0,Salaried,2,0.54
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,60,681,4172,4803,Unemployed,2,1.16
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,48,781,40127,0,Freelancer,5,0.71
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,36,669,5367,0,Salaried,2,1.45
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,60,714,34280,0,Freelancer,0,0.37
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,24,680,54732,28931,Freelancer,5,0.55
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,48,610,56739,0,Unemployed,1,0.35
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,24,653,317332,0,Unemployed,1,0.07
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,48,724,50515,0,Self-Employed,4,0.46
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,60,658,44195,29487,Unemployed,0,0.38
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,12,568,51465,0,Self-Employed,3,0.44
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,48,678,5971,0,Freelancer,0,0.16
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,24,625,103102,93296,Freelancer,5,0.37
